Order_ID,Company,City,Customer_Age,Product_Category,Discount_Applied,Order_Value,Delivery_Time_Min,Distance_Km,Items_Count,Customer_Rating,Delivery_Partner_Rating
ORD000938,JioMart Express,Mumbai,42.0,Dairy & Eggs,No,670.36,18.1,5.81,3.0,,2.0
ORD000939,JioMart Express,,48.0,Meat & Seafood,No,167.69,19.0,6.98,2.0,3.0,4.0
ORD000940,Zepto,Hyderabad,54.0,Snacks & Munchies,No,466.93,6.2,7.91,7.0,3.0,4.0
ORD000941,BigBasket Now,Delhi,42.0,Meat & Seafood,Yes,364.83,22.3,4.39,10.0,4.0,5.0
ORD000942,JioMart Express,Pune,33.0,Household Essentials,No,786.66,13.0,1.87,,4.0,3.0
ORD000943,Zepto,Mumbai,55.0,Personal Care,No,748.92,12.4,8.05,12.0,5.0,3.0
ORD000944,Dunzo,Delhi,60.0,Groceries,No,889.95,14.5,4.81,17.0,3.0,5.0
ORD000945,Zepto,Mumbai,40.0,Bakery,Yes,206.29,14.3,8.36,9.0,1.0,4.0
ORD000946,JioMart Express,Chennai,31.0,Snacks & Munchies,No,252.03,12.3,4.66,3.0,4.0,5.0
ORD000947,Swiggy Instamart,Chennai,23.0,Groceries,No,787.17,16.5,2.56,4.0,2.0,4.0
ORD000948,Swiggy Instamart,Delhi,42.0,Baby Care,No,282.88,13.2,2.12,7.0,3.0,5.0
ORD000949,Swiggy Instamart,Chennai,40.0,Bakery,Yes,161.93,17.1,7.57,18.0,,3.0
ORD000950,JioMart Express,Bangalore,60.0,Household Essentials,No,555.33,9.1,5.96,17.0,5.0,2.0
ORD000951,Swiggy Instamart,Chennai,29.0,Household Essentials,Yes,290.52,15.1,4.34,3.0,4.0,5.0
ORD000952,BigBasket Now,Bangalore,30.0,Baby Care,No,1180.71,10.6,5.18,3.0,3.0,5.0
ORD000953,Dunzo,Bangalore,53.0,Dairy & Eggs,Yes,481.89,12.7,5.72,,4.0,4.0
ORD000954,Zepto,Pune,56.0,Snacks & Munchies,Yes,444.15,17.4,2.77,17.0,5.0,4.0
ORD000955,Zepto,Delhi,51.0,Beverages,No,323.26,8.7,4.09,18.0,4.0,5.0
ORD000956,JioMart Express,Mumbai,23.0,Snacks & Munchies,Yes,1047.86,11.8,3.28,19.0,3.0,3.0
ORD000957,Swiggy Instamart,Hyderabad,55.0,Bakery,Yes,500.26,20.6,4.19,17.0,4.0,4.0
ORD000958,Swiggy Instamart,Ahmedabad,57.0,Meat & Seafood,Yes,315.73,9.3,5.26,16.0,4.0,
ORD000959,Blinkit,Delhi,25.0,Beverages,Yes,250.52,33.5,2.15,16.0,2.0,3.0
ORD000960,Dunzo,Mumbai,25.0,Household Essentials,No,386.03,26.6,4.24,1.0,4.0,4.0
ORD000961,BigBasket Now,Delhi,57.0,Household Essentials,No,224.4,13.5,4.16,14.0,4.0,5.0
ORD000962,Zepto,Bangalore,50.0,Dairy & Eggs,No,747.94,12.0,3.22,15.0,5.0,5.0
ORD000963,Blinkit,Mumbai,51.0,Personal Care,Yes,136.32,17.8,9.99,4.0,3.0,5.0
ORD000964,Blinkit,Hyderabad,61.0,Snacks & Munchies,No,371.03,9.2,1.2,11.0,3.0,1.0
ORD000965,JioMart Express,Ahmedabad,32.0,Dairy & Eggs,No,581.77,7.4,6.61,18.0,4.0,4.0
ORD000966,Zepto,Bangalore,53.0,Bakery,No,495.35,13.7,2.16,17.0,4.0,3.0
ORD000967,JioMart Express,Delhi,52.0,Beverages,No,262.34,15.6,8.48,9.0,4.0,1.0
ORD000968,BigBasket Now,Bangalore,63.0,Baby Care,No,599.54,17.1,9.18,14.0,5.0,3.0
ORD000969,Blinkit,Mumbai,39.0,Groceries,No,237.07,12.9,4.31,,4.0,3.0
ORD000970,Blinkit,Pune,40.0,Meat & Seafood,Yes,398.05,27.4,8.32,4.0,5.0,4.0
ORD000971,Dunzo,Bangalore,57.0,Bakery,Yes,596.52,9.0,2.87,16.0,3.0,3.0
ORD000972,BigBasket Now,Bangalore,62.0,Groceries,No,532.59,10.4,1.83,12.0,5.0,4.0
ORD000973,Blinkit,Hyderabad,39.0,Snacks & Munchies,No,269.07,20.0,3.5,8.0,,5.0
ORD000974,BigBasket Now,Bangalore,22.0,Baby Care,Yes,827.57,10.3,3.75,9.0,1.0,5.0
ORD000975,Zepto,Hyderabad,48.0,Household Essentials,Yes,424.97,10.2,4.27,11.0,3.0,5.0
ORD000976,Swiggy Instamart,Mumbai,30.0,Dairy & Eggs,No,630.05,17.3,4.04,5.0,1.0,5.0
ORD000977,Blinkit,Kolkata,45.0,Beverages,No,1009.75,10.8,4.41,12.0,4.0,4.0
ORD000978,Dunzo,Ahmedabad,37.0,Dairy & Eggs,Yes,788.8,15.6,7.25,2.0,3.0,5.0
ORD000979,Zepto,Hyderabad,50.0,Beverages,Yes,790.04,12.4,2.83,11.0,5.0,5.0
ORD000980,BigBasket Now,Ahmedabad,33.0,Personal Care,No,452.87,11.7,0.68,11.0,5.0,3.0
ORD000981,JioMart Express,Mumbai,46.0,Personal Care,No,649.6,7.1,5.15,,5.0,5.0
ORD000982,Zepto,Bangalore,40.0,Dairy & Eggs,Yes,458.59,17.4,4.76,17.0,4.0,4.0
ORD000983,Blinkit,Hyderabad,41.0,Beverages,No,195.27,10.0,1.07,17.0,5.0,1.0
ORD000984,BigBasket Now,Hyderabad,51.0,Beverages,No,483.79,15.4,1.77,4.0,3.0,4.0
ORD000985,Swiggy Instamart,Bangalore,24.0,Groceries,No,470.51,13.4,5.34,14.0,4.0,4.0
ORD000986,Zepto,Delhi,55.0,Dairy & Eggs,No,572.63,15.1,2.73,5.0,4.0,4.0
ORD000987,Blinkit,Mumbai,54.0,Fruits & Vegetables,No,373.61,15.5,8.84,4.0,3.0,3.0
ORD000988,Dunzo,Bangalore,21.0,Snacks & Munchies,Yes,255.48,17.8,2.15,6.0,2.0,4.0
ORD000989,JioMart Express,Mumbai,51.0,Household Essentials,Yes,598.19,12.3,0.69,18.0,4.0,4.0
ORD000990,BigBasket Now,Chennai,59.0,Personal Care,Yes,183.47,27.0,4.75,13.0,2.0,5.0
ORD000991,Zepto,Delhi,39.0,Fruits & Vegetables,Yes,968.06,7.9,9.87,6.0,5.0,5.0
ORD000992,Zepto,Mumbai,22.0,Personal Care,Yes,351.13,15.0,6.52,15.0,5.0,5.0
ORD000993,Swiggy Instamart,Hyderabad,59.0,Baby Care,Yes,467.46,23.0,3.86,5.0,3.0,3.0
ORD000994,Swiggy Instamart,Hyderabad,40.0,Personal Care,No,564.05,19.9,0.66,6.0,4.0,4.0
ORD000995,Dunzo,Pune,32.0,Bakery,No,575.02,11.1,5.11,18.0,5.0,4.0
ORD000996,JioMart Express,Hyderabad,48.0,Personal Care,No,173.23,11.9,2.46,7.0,3.0,4.0
ORD000997,Dunzo,Delhi,26.0,Groceries,No,661.46,11.0,6.65,6.0,5.0,1.0
ORD000998,Blinkit,Kolkata,60.0,Fruits & Vegetables,Yes,483.91,20.9,6.04,8.0,5.0,4.0
ORD000999,Blinkit,Bangalore,42.0,Baby Care,Yes,275.57,12.2,3.02,5.0,2.0,4.0
ORD001000,Dunzo,Mumbai,42.0,Beverages,Yes,257.29,18.2,1.15,4.0,1.0,4.0
ORD001001,JioMart Express,Hyderabad,38.0,Beverages,No,330.16,18.3,7.67,19.0,5.0,1.0
ORD001002,Dunzo,Pune,26.0,Baby Care,Yes,185.07,42.4,6.06,10.0,5.0,3.0
ORD001003,JioMart Express,Bangalore,55.0,Meat & Seafood,No,1133.83,18.6,8.5,9.0,4.0,5.0
ORD001004,JioMart Express,Delhi,39.0,Dairy & Eggs,No,984.06,11.9,2.97,1.0,2.0,4.0
ORD001005,BigBasket Now,Mumbai,60.0,Meat & Seafood,Yes,529.02,9.2,6.7,19.0,4.0,5.0
ORD001006,JioMart Express,Mumbai,40.0,Fruits & Vegetables,Yes,352.82,14.7,1.63,12.0,3.0,4.0
ORD001007,Swiggy Instamart,Bangalore,21.0,Personal Care,No,358.43,15.7,3.27,19.0,5.0,5.0
ORD001008,JioMart Express,Hyderabad,46.0,Beverages,No,635.77,6.8,6.74,13.0,5.0,1.0
ORD001009,JioMart Express,Mumbai,32.0,Groceries,No,1158.29,12.4,8.34,15.0,4.0,3.0
ORD001010,JioMart Express,Pune,18.0,Meat & Seafood,Yes,286.51,18.5,3.55,2.0,3.0,4.0
ORD001011,Blinkit,Chennai,47.0,Personal Care,No,206.32,13.3,8.09,12.0,5.0,
ORD001012,Swiggy Instamart,,46.0,Household Essentials,Yes,1021.05,24.2,6.94,18.0,3.0,4.0
ORD001013,Swiggy Instamart,Kolkata,37.0,Dairy & Eggs,No,138.06,8.8,3.81,4.0,1.0,4.0
ORD001014,Dunzo,Mumbai,50.0,Baby Care,No,220.28,21.6,8.83,12.0,4.0,3.0
ORD001015,BigBasket Now,,58.0,Personal Care,No,347.89,23.7,5.34,13.0,4.0,4.0
ORD001016,JioMart Express,Hyderabad,61.0,Dairy & Eggs,Yes,158.18,24.1,6.66,4.0,5.0,4.0
ORD001017,Zepto,Kolkata,53.0,Dairy & Eggs,No,786.26,8.8,5.21,14.0,5.0,5.0
ORD001018,BigBasket Now,Kolkata,39.0,Beverages,Yes,674.62,18.6,4.8,18.0,4.0,4.0
ORD001019,BigBasket Now,Delhi,30.0,Beverages,Yes,285.75,12.6,8.56,6.0,4.0,3.0
ORD001020,Swiggy Instamart,Ahmedabad,24.0,Fruits & Vegetables,Yes,869.37,9.4,3.3,1.0,4.0,2.0
ORD001021,BigBasket Now,Mumbai,25.0,Household Essentials,No,962.54,13.9,0.85,10.0,3.0,1.0
ORD001022,JioMart Express,Pune,45.0,Baby Care,No,376.94,11.5,8.86,18.0,5.0,4.0
ORD001023,JioMart Express,Ahmedabad,62.0,Dairy & Eggs,Yes,307.85,23.8,8.34,19.0,4.0,4.0
ORD001024,Blinkit,Mumbai,60.0,Fruits & Vegetables,No,1565.19,20.2,3.98,2.0,5.0,4.0
ORD001025,JioMart Express,Chennai,26.0,Bakery,Yes,621.85,10.4,2.26,15.0,4.0,5.0
ORD001026,JioMart Express,Mumbai,42.0,Meat & Seafood,Yes,470.5,12.3,6.92,3.0,3.0,1.0
ORD001027,Swiggy Instamart,Bangalore,33.0,Snacks & Munchies,Yes,914.27,14.1,1.25,8.0,3.0,4.0
ORD001028,JioMart Express,Bangalore,27.0,Dairy & Eggs,No,483.55,16.0,4.53,19.0,4.0,5.0
ORD001029,Blinkit,Hyderabad,28.0,Fruits & Vegetables,No,297.86,24.6,1.32,11.0,3.0,4.0
ORD001030,Zepto,Pune,48.0,Household Essentials,No,423.31,21.7,6.18,14.0,4.0,4.0
ORD001031,Swiggy Instamart,Chennai,29.0,Beverages,No,752.34,16.8,0.76,16.0,3.0,4.0
ORD001032,Zepto,Bangalore,48.0,Dairy & Eggs,Yes,122.08,14.8,6.48,10.0,5.0,4.0
ORD001033,Swiggy Instamart,Kolkata,31.0,Dairy & Eggs,No,339.4,8.1,6.9,17.0,2.0,2.0
ORD001034,Dunzo,Ahmedabad,61.0,Personal Care,Yes,925.04,27.6,5.13,15.0,4.0,2.0
ORD001035,BigBasket Now,Mumbai,49.0,Household Essentials,No,296.75,13.8,2.16,11.0,1.0,3.0
ORD001036,Dunzo,Ahmedabad,34.0,Baby Care,No,1020.11,30.6,1.46,8.0,4.0,5.0
ORD001037,JioMart Express,Mumbai,52.0,Beverages,No,942.79,17.8,3.48,8.0,3.0,3.0
ORD001038,Zepto,Kolkata,18.0,Dairy & Eggs,No,387.87,37.0,4.92,7.0,4.0,5.0
ORD001039,JioMart Express,Delhi,46.0,Meat & Seafood,No,286.83,21.0,6.6,12.0,4.0,5.0
ORD001040,BigBasket Now,Mumbai,21.0,Beverages,Yes,339.54,9.3,0.51,16.0,,4.0
ORD001041,Swiggy Instamart,Bangalore,40.0,Meat & Seafood,No,1995.74,12.9,7.26,16.0,4.0,5.0
ORD001042,BigBasket Now,Hyderabad,45.0,Snacks & Munchies,Yes,1242.22,15.4,7.27,10.0,4.0,1.0
ORD001043,Blinkit,Bangalore,33.0,Baby Care,Yes,434.95,11.6,4.72,7.0,5.0,4.0
ORD001044,BigBasket Now,Mumbai,29.0,Snacks & Munchies,No,280.09,14.1,3.76,4.0,5.0,5.0
ORD001045,Blinkit,Hyderabad,38.0,Dairy & Eggs,No,432.78,9.5,8.5,2.0,5.0,1.0
ORD001046,BigBasket Now,Pune,62.0,Personal Care,Yes,466.98,16.5,7.95,,2.0,3.0
ORD001047,Blinkit,Bangalore,34.0,Baby Care,No,191.33,18.1,9.84,15.0,5.0,2.0
ORD001048,Zepto,Delhi,57.0,Personal Care,No,423.28,11.0,4.03,14.0,5.0,4.0
ORD001049,JioMart Express,Bangalore,30.0,Fruits & Vegetables,No,891.98,35.7,9.11,12.0,5.0,2.0
ORD001050,JioMart Express,Mumbai,49.0,Bakery,No,137.06,16.9,1.33,17.0,4.0,4.0
ORD001051,Dunzo,Kolkata,54.0,Household Essentials,No,662.45,11.9,4.41,17.0,3.0,5.0
ORD001052,JioMart Express,Kolkata,32.0,Fruits & Vegetables,Yes,920.46,8.6,4.92,13.0,5.0,3.0
ORD001053,Swiggy Instamart,Hyderabad,29.0,Snacks & Munchies,No,288.2,16.8,4.69,8.0,5.0,5.0
ORD001054,BigBasket Now,Delhi,32.0,Meat & Seafood,No,1114.88,14.8,6.44,10.0,,2.0
ORD001055,Dunzo,Kolkata,51.0,Snacks & Munchies,No,266.61,22.5,2.12,13.0,4.0,3.0
ORD001056,Swiggy Instamart,Hyderabad,23.0,Baby Care,No,525.66,15.5,8.73,7.0,3.0,3.0
ORD001057,Swiggy Instamart,Kolkata,34.0,Baby Care,Yes,335.61,10.2,5.74,3.0,4.0,5.0
ORD001058,Blinkit,Hyderabad,37.0,Snacks & Munchies,Yes,335.56,32.1,9.09,15.0,5.0,
ORD001059,JioMart Express,Kolkata,26.0,Dairy & Eggs,Yes,278.56,19.6,0.53,7.0,1.0,3.0
ORD001060,Zepto,Hyderabad,22.0,Snacks & Munchies,Yes,613.48,14.9,6.48,5.0,4.0,2.0
ORD001061,Zepto,Bangalore,40.0,Baby Care,Yes,671.35,17.6,4.42,8.0,5.0,5.0
ORD001062,Dunzo,Ahmedabad,50.0,Baby Care,Yes,388.13,19.9,5.3,17.0,3.0,4.0
ORD001063,Zepto,Bangalore,55.0,Beverages,No,178.4,9.3,7.57,8.0,2.0,3.0
ORD001064,BigBasket Now,Hyderabad,31.0,Groceries,No,513.83,17.5,2.66,7.0,5.0,4.0
ORD001065,Zepto,Delhi,34.0,Personal Care,No,519.68,13.7,2.45,7.0,2.0,
ORD001066,Dunzo,Hyderabad,36.0,Fruits & Vegetables,No,354.24,20.1,7.18,2.0,4.0,2.0
ORD001067,Zepto,Hyderabad,50.0,Snacks & Munchies,Yes,1236.87,12.2,5.45,11.0,5.0,2.0
ORD001068,BigBasket Now,Mumbai,18.0,Beverages,Yes,157.85,12.9,2.72,12.0,5.0,3.0
ORD001069,Blinkit,Mumbai,30.0,Dairy & Eggs,No,106.66,32.0,5.1,12.0,5.0,4.0
ORD001070,Dunzo,Hyderabad,63.0,Baby Care,No,260.21,26.9,4.87,19.0,4.0,3.0
ORD001071,Blinkit,Chennai,44.0,Snacks & Munchies,No,617.86,5.0,7.07,3.0,4.0,5.0
ORD001072,Blinkit,Bangalore,23.0,Baby Care,Yes,214.11,26.1,0.53,12.0,5.0,5.0
ORD001073,Blinkit,Delhi,23.0,Meat & Seafood,Yes,223.95,16.0,6.07,6.0,4.0,4.0
ORD001074,Swiggy Instamart,Hyderabad,50.0,Beverages,No,713.81,12.4,6.25,6.0,4.0,2.0
ORD001075,JioMart Express,Mumbai,47.0,Snacks & Munchies,No,532.47,11.0,7.58,19.0,4.0,5.0
ORD001076,Swiggy Instamart,Bangalore,63.0,Meat & Seafood,No,505.85,11.2,8.95,9.0,4.0,4.0
ORD001077,JioMart Express,Mumbai,52.0,Bakery,No,644.75,12.5,4.68,9.0,4.0,4.0
ORD001078,Blinkit,Mumbai,40.0,Beverages,No,312.59,10.5,3.75,18.0,4.0,5.0
ORD001079,Dunzo,Delhi,27.0,Snacks & Munchies,No,321.38,9.6,1.47,10.0,3.0,5.0
ORD001080,JioMart Express,Bangalore,36.0,Snacks & Munchies,No,655.81,10.8,3.7,10.0,5.0,4.0
ORD001081,BigBasket Now,Mumbai,45.0,Household Essentials,No,180.02,18.7,1.15,1.0,3.0,4.0
ORD001082,BigBasket Now,Bangalore,40.0,Beverages,No,111.54,16.8,8.13,18.0,3.0,2.0
ORD001083,Zepto,Bangalore,21.0,Beverages,No,311.07,20.5,8.17,10.0,4.0,5.0
ORD001084,JioMart Express,Bangalore,37.0,Baby Care,No,705.23,16.0,4.46,7.0,4.0,5.0
ORD001085,Dunzo,Bangalore,36.0,Snacks & Munchies,Yes,470.28,9.8,2.97,8.0,5.0,3.0
ORD001086,Swiggy Instamart,Kolkata,59.0,Personal Care,No,674.77,20.0,1.62,11.0,5.0,5.0
ORD001087,Blinkit,Mumbai,44.0,Personal Care,No,120.33,11.0,8.59,6.0,5.0,5.0
ORD001088,Zepto,Bangalore,51.0,Personal Care,Yes,487.5,21.3,8.84,19.0,5.0,3.0
ORD001089,BigBasket Now,Mumbai,21.0,Bakery,No,597.24,10.3,3.03,9.0,5.0,4.0
ORD001090,Swiggy Instamart,Mumbai,55.0,Snacks & Munchies,Yes,179.38,12.5,6.41,11.0,3.0,3.0
ORD001091,Swiggy Instamart,Hyderabad,24.0,Snacks & Munchies,No,676.7,14.2,2.96,2.0,4.0,5.0
ORD001092,Blinkit,Hyderabad,24.0,Meat & Seafood,No,377.32,21.5,2.64,11.0,4.0,3.0
ORD001093,JioMart Express,Pune,43.0,Household Essentials,Yes,2547.33,17.6,0.7,5.0,4.0,4.0
ORD001094,BigBasket Now,Hyderabad,43.0,Beverages,No,109.25,16.6,5.98,19.0,4.0,3.0
ORD001095,Dunzo,Ahmedabad,36.0,Baby Care,No,917.33,35.0,1.92,17.0,4.0,1.0
ORD001096,Swiggy Instamart,Mumbai,26.0,Household Essentials,No,318.46,7.9,0.62,18.0,4.0,2.0
ORD001097,Blinkit,Mumbai,37.0,Meat & Seafood,Yes,152.89,10.9,1.5,14.0,4.0,
ORD001098,Dunzo,Mumbai,59.0,Snacks & Munchies,No,294.07,10.7,3.48,10.0,3.0,3.0
ORD001099,JioMart Express,Mumbai,62.0,Fruits & Vegetables,No,476.51,8.1,6.86,17.0,4.0,4.0
ORD001100,BigBasket Now,Bangalore,33.0,Beverages,No,751.81,12.3,2.42,11.0,5.0,4.0
ORD001101,JioMart Express,Hyderabad,34.0,Bakery,Yes,1133.63,21.7,8.93,2.0,4.0,4.0
ORD001102,Swiggy Instamart,Mumbai,39.0,Personal Care,No,946.85,13.0,3.24,10.0,5.0,4.0
ORD001103,Dunzo,Ahmedabad,30.0,Bakery,Yes,226.05,14.4,3.65,1.0,5.0,3.0
ORD001104,Dunzo,Kolkata,29.0,Snacks & Munchies,No,794.81,8.3,2.57,14.0,4.0,3.0
ORD001105,Dunzo,Delhi,27.0,Meat & Seafood,No,510.18,12.0,2.91,11.0,3.0,4.0
ORD001106,Swiggy Instamart,Mumbai,18.0,Fruits & Vegetables,Yes,272.39,13.7,1.2,11.0,4.0,4.0
ORD001107,Swiggy Instamart,Mumbai,49.0,Dairy & Eggs,No,355.26,21.3,3.3,10.0,5.0,5.0
ORD001108,JioMart Express,Mumbai,47.0,Personal Care,Yes,263.51,8.4,8.67,5.0,4.0,3.0
ORD001109,Zepto,Mumbai,25.0,Baby Care,No,412.51,13.7,7.04,5.0,,4.0
ORD001110,JioMart Express,Bangalore,38.0,Snacks & Munchies,No,260.4,25.4,8.82,14.0,4.0,
ORD001111,BigBasket Now,Delhi,39.0,Groceries,No,217.72,13.8,1.5,5.0,3.0,3.0
ORD001112,Blinkit,Delhi,35.0,Fruits & Vegetables,No,537.79,7.1,4.83,6.0,5.0,4.0
ORD001113,Dunzo,Ahmedabad,19.0,Fruits & Vegetables,No,588.3,27.4,2.68,16.0,4.0,3.0
ORD001114,Zepto,Chennai,61.0,Beverages,No,360.48,22.1,7.35,15.0,3.0,4.0
ORD001115,Blinkit,Ahmedabad,26.0,Bakery,No,916.53,23.3,9.72,6.0,3.0,5.0
ORD001116,Zepto,Mumbai,20.0,Personal Care,Yes,345.07,8.2,8.25,16.0,5.0,3.0
ORD001117,JioMart Express,Bangalore,43.0,Snacks & Munchies,No,336.41,30.1,0.84,19.0,5.0,4.0
ORD001118,Swiggy Instamart,Hyderabad,38.0,Groceries,No,599.62,12.1,3.51,13.0,4.0,5.0
ORD001119,Dunzo,Mumbai,47.0,Personal Care,Yes,372.61,13.4,0.77,19.0,4.0,3.0
ORD001120,JioMart Express,Mumbai,45.0,Meat & Seafood,Yes,424.49,12.4,0.88,13.0,4.0,4.0
ORD001121,Blinkit,Chennai,53.0,Groceries,Yes,100.0,24.0,1.26,8.0,4.0,2.0
ORD001122,Blinkit,Hyderabad,43.0,Household Essentials,Yes,407.49,15.3,3.13,6.0,5.0,4.0
ORD001123,Blinkit,,51.0,Household Essentials,Yes,134.79,19.9,3.39,17.0,4.0,4.0
ORD001124,Blinkit,Bangalore,25.0,Fruits & Vegetables,No,193.92,17.0,4.3,5.0,1.0,4.0
ORD001125,Blinkit,Bangalore,27.0,Meat & Seafood,No,181.06,15.8,4.35,8.0,3.0,4.0
ORD001126,Zepto,Mumbai,60.0,Household Essentials,No,215.82,11.3,7.83,18.0,2.0,5.0
ORD001127,JioMart Express,,31.0,Fruits & Vegetables,Yes,290.23,33.9,1.84,19.0,4.0,1.0
ORD001128,Dunzo,Mumbai,57.0,Bakery,No,301.3,9.2,2.0,12.0,4.0,5.0
ORD001129,Swiggy Instamart,Mumbai,32.0,Snacks & Munchies,No,600.98,19.4,6.45,12.0,1.0,3.0
ORD001130,Swiggy Instamart,Ahmedabad,34.0,Fruits & Vegetables,No,461.02,19.1,5.93,13.0,5.0,2.0
ORD001131,JioMart Express,Hyderabad,35.0,Snacks & Munchies,No,128.94,26.1,1.96,4.0,4.0,5.0
ORD001132,JioMart Express,,49.0,Meat & Seafood,Yes,424.1,28.7,8.6,10.0,3.0,5.0
ORD001133,Swiggy Instamart,Delhi,55.0,Beverages,No,488.31,15.6,3.63,16.0,3.0,5.0
ORD001134,Swiggy Instamart,Bangalore,40.0,Personal Care,No,331.25,20.3,3.99,,4.0,2.0
ORD001135,Zepto,Delhi,63.0,Fruits & Vegetables,Yes,388.96,33.3,4.49,12.0,3.0,5.0
ORD001136,BigBasket Now,Mumbai,40.0,Fruits & Vegetables,Yes,452.23,16.0,3.57,16.0,1.0,4.0
ORD001137,Dunzo,Mumbai,52.0,Snacks & Munchies,Yes,638.27,10.7,5.8,15.0,1.0,5.0
ORD001138,Blinkit,Kolkata,56.0,Household Essentials,Yes,156.82,14.1,4.19,2.0,4.0,5.0
ORD001139,BigBasket Now,Chennai,32.0,Household Essentials,Yes,348.42,9.8,2.96,16.0,2.0,3.0
ORD001140,JioMart Express,Bangalore,41.0,Fruits & Vegetables,No,997.25,19.1,9.09,11.0,1.0,4.0
ORD001141,Swiggy Instamart,Bangalore,45.0,Household Essentials,No,943.88,25.2,3.43,9.0,5.0,5.0
ORD001142,BigBasket Now,Pune,33.0,Household Essentials,No,672.2,15.7,7.14,2.0,3.0,4.0
ORD001143,Dunzo,Mumbai,33.0,Fruits & Vegetables,No,556.74,8.6,3.8,18.0,4.0,2.0
ORD001144,JioMart Express,Delhi,57.0,Bakery,No,1088.74,24.7,4.63,13.0,3.0,2.0
ORD001145,Blinkit,Delhi,56.0,Bakery,No,1275.01,8.1,2.74,13.0,1.0,4.0
ORD001146,Blinkit,Kolkata,23.0,Dairy & Eggs,No,373.36,8.9,7.65,,5.0,3.0
ORD001147,Dunzo,Ahmedabad,19.0,Bakery,Yes,225.5,15.3,7.5,10.0,2.0,3.0
ORD001148,Dunzo,Delhi,30.0,Dairy & Eggs,No,343.03,18.2,0.71,17.0,1.0,4.0
ORD001149,Swiggy Instamart,Pune,61.0,Meat & Seafood,No,2586.39,19.5,1.07,1.0,4.0,3.0
ORD001150,Blinkit,Kolkata,64.0,Baby Care,Yes,157.34,16.0,9.26,16.0,1.0,1.0
ORD001151,JioMart Express,Delhi,26.0,Personal Care,No,304.2,33.2,8.94,11.0,4.0,3.0
ORD001152,BigBasket Now,Bangalore,51.0,Baby Care,No,172.84,16.9,5.31,1.0,3.0,5.0
ORD001153,JioMart Express,Bangalore,34.0,Household Essentials,No,434.79,24.9,5.19,6.0,3.0,1.0
ORD001154,Zepto,Ahmedabad,44.0,Groceries,Yes,196.05,22.5,8.22,12.0,1.0,
ORD001155,Zepto,Mumbai,46.0,Household Essentials,No,377.95,9.8,1.82,16.0,,5.0
ORD001156,Dunzo,Kolkata,54.0,Fruits & Vegetables,Yes,125.2,15.4,6.71,11.0,4.0,4.0
ORD001157,Swiggy Instamart,Delhi,60.0,Fruits & Vegetables,Yes,584.39,38.4,5.02,18.0,4.0,3.0
ORD001158,Zepto,Chennai,39.0,Personal Care,Yes,840.0,13.4,7.56,2.0,4.0,5.0
ORD001159,Blinkit,Bangalore,41.0,Beverages,No,320.42,12.6,0.79,17.0,5.0,4.0
ORD001160,JioMart Express,,24.0,Beverages,No,372.01,17.6,6.13,17.0,4.0,3.0
ORD001161,JioMart Express,Kolkata,51.0,Beverages,Yes,365.75,13.6,5.79,4.0,5.0,4.0
ORD001162,Dunzo,Kolkata,29.0,Bakery,No,449.68,12.0,8.49,6.0,4.0,3.0
ORD001163,BigBasket Now,Pune,40.0,Meat & Seafood,Yes,394.29,13.6,6.93,15.0,4.0,4.0
ORD001164,Dunzo,Mumbai,32.0,Household Essentials,Yes,639.62,29.2,8.86,11.0,5.0,4.0
ORD001165,BigBasket Now,Chennai,50.0,Fruits & Vegetables,No,845.41,15.6,8.93,18.0,5.0,4.0
ORD001166,Dunzo,Mumbai,30.0,Groceries,Yes,247.54,9.7,4.38,17.0,2.0,4.0
ORD001167,Dunzo,Bangalore,40.0,Groceries,No,335.09,9.0,1.81,2.0,4.0,5.0
ORD001168,Dunzo,Bangalore,55.0,Groceries,Yes,692.96,39.8,6.49,13.0,4.0,4.0
ORD001169,BigBasket Now,Bangalore,49.0,Beverages,Yes,171.91,15.0,8.8,6.0,,4.0
ORD001170,BigBasket Now,Bangalore,62.0,Personal Care,No,123.66,19.6,1.21,11.0,5.0,5.0
ORD001171,Dunzo,Ahmedabad,52.0,Beverages,No,462.1,12.1,5.8,7.0,4.0,4.0
ORD001172,Zepto,Mumbai,18.0,Fruits & Vegetables,Yes,543.38,18.7,1.59,18.0,4.0,4.0
ORD001173,Swiggy Instamart,Chennai,64.0,Household Essentials,No,261.55,29.5,0.76,17.0,3.0,5.0
ORD001174,Swiggy Instamart,Bangalore,62.0,Household Essentials,No,285.09,12.7,6.96,13.0,3.0,5.0
ORD001175,Swiggy Instamart,Mumbai,22.0,Personal Care,No,255.67,19.8,6.98,14.0,2.0,
ORD001176,BigBasket Now,Mumbai,30.0,Meat & Seafood,Yes,239.81,9.4,6.21,9.0,3.0,3.0
ORD001177,BigBasket Now,Ahmedabad,22.0,Bakery,No,611.61,36.9,8.66,13.0,4.0,4.0
ORD001178,Zepto,Pune,49.0,Groceries,No,198.68,18.3,1.27,6.0,5.0,4.0
ORD001179,Swiggy Instamart,Pune,38.0,Household Essentials,Yes,344.02,13.9,1.5,1.0,4.0,4.0
ORD001180,Swiggy Instamart,Ahmedabad,41.0,Personal Care,No,234.35,14.6,8.71,1.0,3.0,3.0
ORD001181,Dunzo,,35.0,Groceries,No,168.48,13.4,5.28,4.0,1.0,4.0
